DATETIME,COUNT,TYPE,LAMBDA_1,LAMBDA_2,LAMBDA_3,NH,NL,Nth,100_T_cel,T_cel,TSG,NMEA
2021/07/30 16:04:58 ,0,Blanc_pH,5619,4509,2465,3735,4587,5159,2330,24.29,,nan
2021/07/30 16:05:05 ,0,Blanc_pH,5671,4495,2459,3735,4587,5158,2330,24.29,,nan
2021/07/30 16:05:13 ,0,Blanc_pH,5638,4510,2430,3735,4587,5158,2330,24.29,,nan
2021/07/30 16:05:40 ,0,Mesure_pH,5605,4515,2418,3735,4587,5158,2330,24.29,,nan
2021/07/30 16:05:48 ,0,Mesure_pH,5604,4499,2450,3735,4587,5158,2330,24.29,,nan
2021/07/30 16:05:55 ,0,Mesure_pH,5617,4505,2429,3735,4587,5158,2330,24.29,,nan
2021/07/30 16:06:23 ,0,Mesure_pH,5658,4405,2256,3735,4587,5157,2329,24.3,,nan
2021/07/30 16:06:30 ,0,Mesure_pH,5622,4442,2404,3735,4587,5157,2329,24.3,,nan
2021/07/30 16:06:38 ,0,Mesure_pH,5622,4505,2432,3735,4587,5157,2329,24.3,,nan
2021/07/30 16:07:06 ,0,Mesure_pH,5620,4509,2431,3735,4587,5157,2329,24.3,,nan
2021/07/30 16:07:13 ,0,Mesure_pH,5625,4506,2429,3735,4587,5157,2329,24.3,,nan
2021/07/30 16:07:21 ,0,Mesure_pH,5630,4516,2431,3735,4587,5157,2329,24.3,,nan
2021/07/30 16:07:48 ,0,Mesure_pH,5625,4509,2427,3735,4587,5156,2328,24.3,,nan
2021/07/30 16:07:56 ,0,Mesure_pH,5626,4508,2425,3735,4587,5156,2328,24.3,,nan
2021/07/30 16:08:03 ,0,Mesure_pH,5625,4509,2429,3735,4587,5156,2328,24.3,,nan
2021/07/30 16:08:11 ,1,Blanc_pH,5625,4507,2430,3735,4587,5156,2328,24.3,,nan
2021/07/30 16:08:18 ,1,Blanc_pH,5626,4508,2430,3735,4587,5156,2328,24.3,,nan
2021/07/30 16:08:26 ,1,Blanc_pH,5626,4506,2428,3735,4587,5156,2328,24.3,,nan
2021/07/30 16:08:53 ,1,Mesure_pH,5625,4509,2430,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:09:01 ,1,Mesure_pH,5629,4504,2427,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:09:08 ,1,Mesure_pH,5627,4508,2430,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:09:36 ,1,Mesure_pH,5625,4507,2430,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:09:44 ,1,Mesure_pH,5626,4510,2428,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:09:51 ,1,Mesure_pH,5628,4509,2428,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:10:19 ,1,Mesure_pH,5623,4505,2428,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:10:26 ,1,Mesure_pH,5627,4506,2429,3735,4587,5155,2328,24.31,,nan
2021/07/30 16:10:34 ,1,Mesure_pH,5627,4510,2429,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:11:01 ,1,Mesure_pH,5625,4506,2429,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:11:09 ,1,Mesure_pH,5623,4508,2429,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:11:16 ,1,Mesure_pH,5627,4507,2428,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:11:24 ,2,Blanc_pH,5628,4508,2429,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:11:31 ,2,Blanc_pH,5626,4509,2428,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:11:39 ,2,Blanc_pH,5628,4508,2430,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:12:07 ,2,Mesure_pH,5630,4511,2425,3735,4587,5154,2327,24.32,,nan
2021/07/30 16:12:14 ,2,Mesure_pH,5629,4510,2430,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:12:22 ,2,Mesure_pH,5628,4508,2431,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:12:49 ,2,Mesure_pH,5626,4509,2430,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:12:57 ,2,Mesure_pH,5635,4512,2430,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:13:04 ,2,Mesure_pH,5632,4513,2430,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:13:32 ,2,Mesure_pH,5642,4516,2428,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:13:39 ,2,Mesure_pH,5632,4516,2434,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:13:47 ,2,Mesure_pH,5638,4518,2435,3735,4587,5153,2326,24.32,,nan
2021/07/30 16:14:14 ,2,Mesure_pH,5637,4514,2430,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:14:22 ,2,Mesure_pH,5638,4517,2428,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:14:30 ,2,Mesure_pH,5639,4515,2432,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:14:37 ,3,Blanc_pH,5638,4525,2428,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:14:45 ,3,Blanc_pH,5637,4515,2431,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:14:52 ,3,Blanc_pH,5643,4508,2439,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:15:20 ,3,Mesure_pH,5734,4466,2386,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:15:27 ,3,Mesure_pH,5680,4531,2492,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:15:35 ,3,Mesure_pH,5493,4484,2450,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:16:02 ,3,Mesure_pH,5659,4527,2421,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:16:10 ,3,Mesure_pH,5688,4487,2408,3735,4587,5152,2326,24.33,,nan
2021/07/30 16:16:17 ,3,Mesure_pH,5727,4545,2433,3735,4587,5151,2325,24.34,,nan
2021/07/30 16:16:45 ,3,Mesure_pH,5634,4489,2436,3735,4587,5151,2325,24.34,,nan
2021/07/30 16:16:52 ,3,Mesure_pH,5633,4534,2450,3735,4587,5151,2325,24.34,,nan
2021/07/30 16:17:00 ,3,Mesure_pH,5685,4580,2500,3735,4587,5151,2325,24.34,,nan
2021/07/30 16:17:28 ,3,Mesure_pH,5648,4527,2436,3735,4587,5151,2325,24.34,,nan
2021/07/30 16:17:35 ,3,Mesure_pH,5648,4524,2436,3735,4587,5151,2325,24.34,,nan
2021/07/30 16:17:43 ,3,Mesure_pH,5642,4523,2434,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:17:50 ,4,Blanc_pH,5651,4543,2353,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:17:58 ,4,Blanc_pH,5643,4516,2412,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:18:05 ,4,Blanc_pH,5698,4361,2489,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:18:33 ,4,Mesure_pH,5624,4535,2505,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:18:40 ,4,Mesure_pH,5808,4527,2427,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:18:48 ,4,Mesure_pH,5630,4578,2482,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:19:15 ,4,Mesure_pH,5634,4520,2422,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:19:23 ,4,Mesure_pH,5638,4520,2440,3735,4587,5150,2324,24.34,,nan
2021/07/30 16:19:31 ,4,Mesure_pH,5635,4515,2422,3735,4587,5149,2324,24.35,,nan
